company_id,tse_industry_code,tej_industry,tej_sub_industry
6918,22,M17G 醫療耗材,M17G4 輔助與彌補
6919,22,M17C 藥,M17C1C 小分子新藥
6920,24,M23B 印刷電路板,M23B2A IC載板
6921,24,M23G 半導體,M23G5F 傳輸介面IC
6922,25,M23A 電腦及週邊,M23A5B 工業電腦
6923,35,M99L 資源回收,M99L2 廢棄物處理
6924,28,M23B 印刷電路板,M23B2B 硬板
6925,36,M23X 資訊服務,M23X9 應用軟體
6926,22,M17C 藥,M17C1D 大分子新藥
6927,24,M23G 半導體,M23G5G 顯示驅動IC
6928,25,M23A 電腦及週邊,M23A5B 工業電腦
6929,22,M17X 醫藥通路,M17X2 醫藥零售
6931,22,M17X 醫藥通路,M17X1 醫療服務
6932,22,M17C 藥,M17C1C 小分子新藥
6933,25,M23A 電腦及週邊,M23A2 泛用電腦
6934,22,M17G 醫療耗材,M17G2 手術與治療
6935,02,M17C 藥,M17C1A 原料藥
6936,22,M17C 藥,M17C1F 動物用藥
6937,24,M23H 電子設備,M23H2 電機設備
6938,30,M23X 資訊服務,M23X1 系統整合
6939,22,M17H 生物科技,M17H1 細胞醫療
6940,28,M23D 電子零組件,M23D7 二次電池
6944,35,M99L 資源回收,M99L2 廢棄物處理
6945,22,M17C 藥,M17C1D 大分子新藥
6946,35,M99D 公用事業,M99D4 電力及能源
6947,35,M99L 資源回收,M99L2 廢棄物處理
6949,22,M17H 生物科技,M17H1 細胞醫療
6951,35,M99L 資源回收,M99L2 廢棄物處理
6952,20,M99Z 其他,M99ZA4 牧業
6953,24,M23H 電子設備,M23H2 電機設備
6955,22,M17G 醫療耗材,M17G3 體外診斷
6957,20,M20A 基本金屬,M20A9 金屬加工
6958,20,M28K 租賃,M28K 租賃
6959,21,M17Z 其他化學,M17Z 其他化學
6961,16,M27C 旅行社,M27C 旅行社
6962,24,M23G 半導體,M23G5G 顯示驅動IC
6963,02,M12Z 其他食品,M12Z 其他食品
6965,37,M99K 鞋及旅行箱,M99K 鞋及旅行箱
6967,28,M23Z 其他電子,M23Z 其他電子
6968,38,M29A 百貨批發,M29A9 其他零售
6969,35,M99L 資源回收,M99L2 廢棄物處理
6971,35,M99L 資源回收,M99L2 廢棄物處理
6972,21,M21C 橡膠原料,M21C 橡膠原料
6973,22,M17H 生物科技,M17H1 細胞醫療
