資料年月,代號,名稱,市場,產業別,YoY%,MoM%,產業中位YoY%,相對強度
11508,3296,勝德,TWSE,電子零組件業,53.38669997638869,16.75430612162076,29.750508203062697,23.636191773325994
11508,2330,台積電,TWSE,半導體業,53.320053714712955,10.099818994181083,29.99232947887792,23.327724235835035
11508,2603,長榮,TWSE,航運業,48.63589929629481,1.8856363783847867,25.441132804790072,23.194766491504737
11508,6605,帝寶,TWSE,汽車工業,28.251422830345653,3.113006174514663,5.380600310175146,22.870822520170506
11508,6166,凌華,TWSE,電腦及週邊設備業,47.83425710381272,7.156241522099848,25.200742370543818,22.6335147332689
11508,6415,矽力*-KY,TWSE,半導體業,52.53892158873933,2.5369954638471888,29.99232947887792,22.546592109861407
11508,4560,強信-KY,TWSE,電機機械,32.48550332604372,2.1610886528156437,9.955734548221304,22.529768777822415
11508,6680,鑫創電子,TPEx,電腦及週邊設備業,47.61081911344709,64.96352322712156,25.200742370543818,22.410076742903275
11508,5321,美而快,TPEx,數位雲端,34.91961414790997,108.89643023372277,12.606719452831793,22.312894695078175
11508,7584,樂意,TPEx,文化創意業,29.473992459460447,8.668892348025562,7.161599674517873,22.312392784942574
11508,1781,合世,TPEx,生技醫療業,33.16265886440523,38.06047966631908,10.87404800799546,22.28861085640977
11508,5546,永固-KY,TWSE,建材營造,32.806001600215474,7.520571578832599,10.642243208931497,22.163758391283977
11508,3466,德晉,TPEx,通信網路業,49.72630365888793,22.378335949764523,27.642117309427462,22.084186349460467
11508,4714,永捷,TPEx,化學工業,42.9489518561269,28.435892117570706,20.88575514293141,22.063196713195488
11508,2327,國巨*,TWSE,電子零組件業,51.799610560411935,1.2460830535233982,29.750508203062697,22.049102357349238
11508,6662,樂斯科,TPEx,生技醫療業,32.83032023507147,12.157275021026072,10.87404800799546,21.956272227076006
11508,8103,瀚荃,TWSE,電子零組件業,51.59721699887176,1.9303955110844757,29.750508203062697,21.84670879580906
11508,6180,橘子,TPEx,文化創意業,28.999878485419664,7.096722730674575,7.161599674517873,21.83827881090179
11508,6142,友勁,TWSE,通信網路業,49.47108414326371,33.80842792162141,27.642117309427462,21.828966833836247
11508,6944,兆聯實業,TWSE,綠能環保,37.21291990021215,10.36985856681334,15.414169395407162,21.798750504804985
11508,2444,兆勁,TWSE,通信網路業,49.281115246027525,55.00177868279339,27.642117309427462,21.638997936600063
11508,6870,騰雲,TPEx,數位雲端,34.13756613756614,5.25325214503183,12.606719452831793,21.530846684734346
11508,8931,大汽電,TPEx,油電燃氣業,38.158404508232806,3.112975990589441,16.68268801195495,21.475716496277855
11508,4104,佳醫,TWSE,生技醫療業,32.2453706621182,11.961354329439047,10.87404800799546,21.371322654122736
11508,5536,聖暉*,TPEx,其他電子業,44.54132881735161,25.561042349602662,23.22306770081476,21.318261116536853
11508,5493,三聯,TPEx,其他電子業,44.534401265170494,18.820951528818853,23.22306770081476,21.311333564355735
11508,3060,銘異,TWSE,電腦及週邊設備業,46.389392118216364,9.56442610073084,25.200742370543818,21.188649747672546
11508,3646,艾恩特,TPEx,電子零組件業,50.80557194714161,6.78154952582332,29.750508203062697,21.05506374407891
11508,1598,岱宇,TWSE,運動休閒,23.842838104403427,3.0416792433846465,3.2102659409215217,20.632572163481903
11508,1560,中砂,TWSE,電機機械,30.37794617921122,1.4432661682027883,9.955734548221304,20.422211630989917
11508,6155,鈞寶,TWSE,電子零組件業,50.04599448066232,16.197172192712124,29.750508203062697,20.295486277599625
11508,4961,天鈺,TWSE,半導體業,50.151362691195914,7.2526415686091115,29.99232947887792,20.159033212317993
11508,8432,東生華,TPEx,生技醫療業,30.880162775575272,16.651398444510917,10.87404800799546,20.00611476757981
11508,3467,台灣精材,TPEx,半導體業,49.80566242478051,10.57567681710283,29.99232947887792,19.813332945902587
11508,1736,喬山,TWSE,運動休閒,22.657167851484374,5.671153526224484,3.2102659409215217,19.44690191056285
11508,9940,信義,TWSE,其他,26.24243876694443,10.863262440384254,6.798290381685865,19.444148385258565
11508,4563,百德,TPEx,電機機械,29.211772665764546,51.130895231445116,9.955734548221304,19.25603811754324
11508,3158,嘉實,TPEx,資訊服務業,39.40383572698501,4.1114595398856775,20.16137918832383,19.242456538661177
11508,5244,弘凱,TWSE,光電業,29.767265687471067,2.933256181425678,10.869800594642088,18.89746509282898
11508,2102,泰豐,TWSE,橡膠工業,29.991976157725812,2.226529048541939,11.183860478864913,18.8081156788609
11508,8421,旭源,TPEx,其他,25.498522513586675,1.6664713661549793,6.798290381685865,18.700232131900812
11508,6139,亞翔,TWSE,其他電子業,41.68738766970338,0.8238097120440502,23.22306770081476,18.464319968888617
11508,2062,橋椿,TWSE,居家生活,22.200003570854683,9.103420181016313,3.9080529454810256,18.29195062537366
11508,2515,中工,TWSE,建材營造,28.83948243046841,13.272333841339274,10.642243208931497,18.197239221536915
11508,8488,吉源-KY,TWSE,其他,24.98128421100391,21.703263757834343,6.798290381685865,18.182993829318043
11508,5340,建榮,TPEx,電子零組件業,47.7710740243099,4.366353030835971,29.750508203062697,18.0205658212472
11508,3306,鼎天,TPEx,通信網路業,45.50208386873303,18.236709492895084,27.642117309427462,17.85996655930557
11508,3293,鈊象,TPEx,文化創意業,24.804093366160956,1.775592877528285,7.161599674517873,17.642493691643082
11508,4426,利勤,TWSE,紡織纖維,17.51422984468607,4.149373013069587,-0.06602217024011142,17.58025201492618
11508,1909,榮成,TWSE,造紙工業,23.173049017839748,6.290466137998159,6.0296475280689865,17.14340148977076
11508,1904,正隆,TWSE,造紙工業,23.124829010579017,2.050220786862195,6.0296475280689865,17.09518148251003
11508,5902,德記,TPEx,居家生活,20.915794625329248,2.2549293154761907,3.9080529454810256,17.007741679848223
11508,6902,GOGOLOOK,TWSE,數位雲端,29.54663766875282,2.0392542780602483,12.606719452831793,16.939918215921026
11508,1609,大亞,TWSE,電器電纜,34.835392935879575,16.628672431878815,17.898542763256458,16.936850172623117
11508,3264,欣銓,TPEx,半導體業,46.57297818291717,1.573428156762056,29.99232947887792,16.58064870403925
11508,1268,漢來美食,TPEx,觀光餐旅,19.991830825288854,7.617812678521232,3.621019870720613,16.370810954568242
11508,2538,基泰,TWSE,建材營造,26.89925681255161,12.64947083886929,10.642243208931497,16.257013603620113
11508,6645,金萬林-創,TWSE,生技醫療業,26.983461278970115,10.277280717034316,10.87404800799546,16.109413270974656
11508,2233,宇隆,TWSE,汽車工業,21.271502983479063,0.9856077855567141,5.380600310175146,15.890902673303916
11508,1213,大飲,TWSE,食品工業,17.12312734082397,22.954999232068808,1.3068797196628994,15.816247621161072
11508,2492,華新科,TWSE,電子零組件業,45.54208446583508,2.8056594288635734,29.750508203062697,15.791576262772384
11508,3711,日月光投控,TWSE,半導體業,45.65918579706578,11.470924994667861,29.99232947887792,15.666856318187861
11508,4939,亞電,TPEx,電子零組件業,45.40855152574406,3.3928943065259403,29.750508203062697,15.658043322681362
11508,4991,環宇-KY,TPEx,半導體業,45.61718147039716,80.31296838689273,29.99232947887792,15.624851991519243
